,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
0,2015,Albania,1.712793733681462,11878.5,93.4,0.14,15.41353747624998,112.3,111.3,456.02500000000003
1,2015,Armenia,1.645367412140575,11321.3,99.0,0.13,12.953182622534701,95.3,97.0,461.07500000000005
2,2015,Australia,1.7769070010449322,47569.3,99.0,1.11,1.3007417779790476,159.0,107.7,384.8
3,2015,Austria,1.881869542886492,52873.9,99.0,0.62,2.1657588659640936,162.3,107.3,443.52500000000003
4,2015,Azerbaijan,1.6566684520621318,14852.6,92.4,0.15,17.64985673001071,64.0,90.3,538.95
5,2015,Barbados,1.5477439664218258,15388.6,98.5,0.25,1.2967577551370884,94.0,87.0,439.0
6,2015,Belarus,1.7162447257383966,18362.7,96.5,0.14,4.617866513888983,130.0,89.0,432.0
7,2015,Belgium,1.9547790339157245,49456.4,99.0,0.47,0.47440934924212413,164.0,98.3,483.7
8,2015,Belize,1.5218874360432064,7292.8,97.2,0.2,6.8778641605204385,70.4,68.7,442.15000000000003
9,2015,Bosnia and Herzegovina,1.6950207468879668,12630.7,96.2,0.14,4.282166770378863,83.6,96.0,532.9
10,2015,Brazil,1.7221633085896075,15064.2,97.8,0.24,4.5534649870476,124.0,93.0,440.0
11,2015,Bulgaria,1.4383490073145246,19988.2,99.0,0.16,2.887049099974319,90.7,83.7,400.47499999999997
12,2015,Cambodia,1.4946053378762068,3541.4,68.4,0.08,23.600395195418464,37.3,65.0,509.07500000000005
13,2015,Canada,1.7779511180447218,47522.1,99.0,0.47,0.8186629970887122,157.3,99.0,401.825
14,2015,Chile,1.592098238120662,24329.6,99.0,0.38,4.189382190435762,90.3,87.0,455.32500000000005
15,2015,Colombia,1.6363636363636365,14095.7,96.3,0.22,7.366478939227032,85.0,68.7,482.55
16,2015,Costa Rica,1.5420660276890308,19141.7,99.0,0.24,5.214751830983301,94.0,76.7,435.8
17,2015,Cyprus,1.5702521873391662,34453.1,99.0,0.43,1.2326580745520836,111.7,91.7,419.72499999999997
18,2015,Czechia,1.6059670781893005,36168.4,99.0,0.2,1.3912043609375753,130.0,87.3,400.7
19,2015,Denmark,1.7120901639344261,52892.6,99.0,0.51,1.1829075033904963,131.7,110.3,428.87499999999994
20,2015,Dominican Republic,1.4896963123644251,15328.4,96.1,0.23,3.8872654504251494,98.7,61.0,403.67499999999995
21,2015,Ecuador,1.4771830985915493,11896.4,93.1,0.29,11.552920419180285,98.6,64.6,369.04999999999995
22,2015,Egypt,1.8822222222222222,10570.4,99.0,0.2,6.9196051116897,57.3,97.6,620.475
23,2015,El Salvador,1.4648526077097506,8143.3,95.6,0.2,7.6364230818667345,58.7,75.3,438.62499999999994
24,2015,Estonia,1.62782340862423,31038.8,99.0,0.18,1.897166490538496,115.0,101.7,432.3
25,2015,Finland,1.7101077475628528,45072.6,99.0,0.52,1.8711112019277782,140.7,117.7,398.97499999999997
26,2015,France,1.8242677824267783,43345.8,99.0,0.51,1.0994256979902128,148.7,108.0,429.42499999999995
27,2015,Georgia,1.4818516570226197,12605.1,95.8,0.13,18.898309717756163,68.7,75.7,473.97499999999997
28,2015,Germany,1.8264208909370199,51159.3,99.0,0.46,0.685321810387065,143.3,104.3,465.02500000000003
29,2015,Ghana,1.6434195725534309,4786.0,80.2,0.11,11.169295898008432,40.0,59.6,580.9
30,2015,Greece,1.7559462254395035,28260.4,99.0,0.48,4.368803845723399,149.0,106.7,407.05
31,2015,Guatemala,1.4568047337278107,8125.7,92.1,0.19,12.239521179147111,62.7,69.0,405.42499999999995
32,2015,Honduras,1.4824263038548753,5283.4,93.3,0.17,10.953412874754305,83.0,59.0,408.0
33,2015,Hungary,1.6608247422680413,27531.6,99.0,0.19,2.1066739620113673,144.7,85.0,394.925
34,2015,Iceland,1.8344507478081484,52142.9,99.0,0.48,2.3504331737509725,162.0,138.7,386.05
35,2015,Indonesia,1.5842696629213484,10149.6,88.5,0.11,15.069307821380123,51.4,63.7,525.65
36,2015,Ireland,1.959409594095941,71508.7,97.4,0.46,2.3526035912492853,134.0,110.3,517.45
37,2015,Israel,1.9735806632939854,37306.1,99.0,0.4,0.455323910671886,150.7,124.0,414.67499999999995
38,2015,Italy,1.8027950310559007,40247.8,99.0,0.58,1.391318977786306,146.7,104.0,436.67499999999995
39,2015,Jamaica,1.4582668793195108,9473.1,90.4,0.2,6.98973789217938,76.3,71.7,442.37500000000006
40,2015,Japan,1.453713670613563,40402.6,98.9,0.42,1.7814567603252451,86.7,86.0,394.17499999999995
41,2015,Kazakhstan,1.7187329328235936,24290.4,95.0,0.17,8.840104233949333,127.3,94.7,405.625
42,2015,Kiribati,1.81002331002331,2144.7,73.8,0.07,6.131960658811651,124.7,71.3,424.625
43,2015,Kyrgyzstan,1.4975124378109452,4805.1,88.4,0.1,11.567837296945894,65.3,84.0,446.32500000000005
44,2015,Latvia,1.6775898520084567,26628.5,98.5,0.17,3.559638079267148,123.0,98.3,418.45
45,2015,Lithuania,1.7809373354397051,30748.2,96.6,0.18,4.12927303784067,96.0,122.3,507.2
46,2015,Luxembourg,1.759005580923389,113183.0,99.0,0.62,0.4331784712946478,138.7,111.3,443.37499999999994
47,2015,Madagascar,1.1373365041617123,1546.8,48.9,0.09,33.97153512739085,22.0,43.3,385.45
48,2015,Malaysia,1.5604575163398693,24787.8,97.1,0.15,5.79400114248096,91.0,78.0,433.5
49,2015,Mali,1.718088324258923,2139.7,74.4,0.09,20.794399972658624,58.0,80.0,499.5
50,2015,Malta,1.7663744198040228,39887.7,99.0,0.44,0.6711889269972483,115.0,113.3,484.2
51,2015,Mauritius,1.6252002135611319,19897.5,99.0,0.14,3.218609289558913,91.3,86.0,469.57500000000005
52,2015,Mexico,1.7181025081788441,19268.9,98.0,0.25,5.534254029321019,98.3,89.3,477.27500000000003
53,2015,Mongolia,1.5124792013311148,11009.7,80.8,0.13,10.924372830741923,118.8,88.7,325.75
54,2015,Montenegro,1.7899423782084862,18263.6,97.4,0.16,2.729852286520447,136.7,109.3,437.37499999999994
55,2015,Myanmar,1.558113419427288,3663.1,73.6,0.09,21.29226432043721,82.0,93.7,415.55
56,2015,Netherlands,1.643835616438356,52974.1,99.0,0.41,1.0507605989954714,128.0,107.3,414.7
57,2015,New Zealand,1.6530398322851152,41020.3,99.0,0.65,3.1054103703369815,113.3,92.3,441.27500000000003
58,2015,North Macedonia,1.5575726141078838,15139.3,97.5,0.15,5.983788086094833,101.0,81.0,442.5
59,2015,Norway,1.7535860655737705,62987.5,99.0,0.49,1.0185338858388941,142.3,111.7,423.87500000000006
60,2015,Pakistan,1.398397252432742,4816.1,89.5,0.12,11.367242924427067,76.0,64.3,375.45
61,2015,Panama,1.553370786516854,28431.0,92.9,0.29,6.40959155749416,80.0,78.7,432.55
62,2015,Paraguay,1.5046626439934174,11828.1,96.8,0.22,9.582423970053581,87.3,65.0,424.32500000000005
63,2015,Peru,1.557303370786517,12110.3,90.3,0.3,14.943408984711823,57.3,85.3,478.77500000000003
64,2015,Philippines,1.478110599078341,7300.1,92.0,0.1,11.189091126318635,53.4,60.7,460.65000000000003
65,2015,Poland,1.74495602690119,27797.1,99.0,0.19,4.862550098495886,121.3,101.0,469.32500000000005
66,2015,Portugal,1.7957157784743991,31118.8,99.0,0.45,3.30353558802918,135.0,112.0,443.5
67,2015,Romania,1.8123044838373306,23878.2,99.0,0.16,10.96017592210701,119.0,106.7,494.55
68,2015,Saudi Arabia,1.765557939914163,48921.2,99.0,0.29,2.2085161598851064,107.6,91.0,489.65
69,2015,Senegal,1.4205393000573723,2966.5,78.6,0.1,7.781513123823178,66.3,60.4,409.42500000000007
70,2015,Serbia,1.4587251828631138,15578.2,93.4,0.15,5.628281526053882,84.0,84.7,424.3
71,2015,Slovakia,1.3902813299232737,28719.9,99.0,0.19,1.417503156037202,121.3,69.3,337.275
72,2015,Slovenia,1.6496350364963503,33799.7,99.0,0.19,3.096901842845617,112.7,97.7,439.72499999999997
