,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2016,Albania,4.300000190734863,12291.9,4093.9888658192294,93.8,0.14,15.962191318193739,0.38013032072438013
1,2016,Armenia,2.799999952316284,11303.1,1307.1552616405104,99.0,0.13,11.513558415161093,1.3556539864512769
2,2016,Australia,2.5,48116.0,691.1016947406122,99.0,1.11,1.2949913674111424,24.8058802480916
3,2016,Austria,2.5,53345.7,391665.7311405363,99.0,0.61,2.09782303259998,0.019618974787070715
4,2016,Azerbaijan,2.5,14232.2,2742.5624029315404,93.2,0.15,17.76492108034467,1.3877393574191905
5,2016,Bangladesh,13.300000190734863,4641.6,302.132298219935,97.2,0.11,16.077164753546132,1.6022836790278652
6,2016,Barbados,4.300000190734863,15752.4,47264.15160358015,98.5,0.25,1.3313599115459172,0.09498075214687593
7,2016,Belarus,2.5,17883.1,10059.89219574157,96.5,0.14,5.00534744185623,0.6298640000589336
8,2016,Belgium,2.5,49829.9,4422.07153574819,99.0,0.47,0.5054689337805136,1.9890858394742084
9,2016,Belize,7.199999809265137,7132.1,59962.16059218402,97.6,0.2,7.257077245052239,0.02820280669986419
10,2016,Bosnia and Herzegovina,2.5,13194.3,25197.98373605358,96.2,0.14,4.248134300259608,0.2547142170707983
11,2016,Brazil,2.5,14451.2,8.245900274198497,98.0,0.24,4.38007137418452,289.8517647058824
12,2016,Bulgaria,3.5999999046325684,20740.8,330202.34487163497,99.0,0.16,2.848734358806859,0.01926752738621014
13,2016,Cambodia,8.5,3728.1,6.342646240808713,69.1,0.08,21.322004098618,105.33
14,2016,Canada,2.5,47457.6,15955.280139537925,99.0,0.47,0.7949687408439231,0.9639397071490096
15,2016,Chile,3.0999999046325684,24430.2,832.5372649413436,99.0,0.39,4.2248885610425395,5.566853396013426
16,2016,Colombia,6.800000190734863,14194.5,3267.625182231266,96.6,0.23,7.314597797598458,0.5923210814519305
17,2016,Costa Rica,3.5999999046325684,19736.7,91283.7984575869,99.0,0.24,4.963876737582399,0.01771571674529884
18,2016,Cyprus,2.5,36509.1,15189.853946670153,99.0,0.44,1.1304156849876388,0.4147960618846695
19,2016,Czechia,2.5,37015.0,103.014746957962,99.0,0.2,1.4038972892402466,97.5271962702258
20,2016,Denmark,2.5,54185.0,6107.1418191088405,99.0,0.52,1.1177925483765123,1.0610951834862385
21,2016,Dominican Republic,6.800000190734863,16166.6,16021.753962256022,96.4,0.23,3.6595074813387294,0.1479380515036917
22,2016,Ecuador,9.699999809265137,11551.6,1591.8268716214761,93.8,0.3,12.223745938343162,1.5048569578301778
23,2016,El Salvador,9.899999618530272,8309.9,3821.503532727504,96.6,0.2,8.013908447851266,0.2736105393165912
24,2016,Estonia,2.5,32008.9,41898.75177268332,99.0,0.18,1.9017749240983908,0.31847353154459757
25,2016,Eswatini,13.0,8321.0,235779.54638893926,67.6,0.16,3.38188536024431,0.0040166452826309595
26,2016,Fiji,6.300000190734863,12820.8,11496.94064460813,94.3,0.11,7.1568742076510246,0.12562313060817548
27,2016,Finland,2.5,46206.8,4138.083574372912,99.0,0.52,1.715112863273717,2.076
28,2016,France,2.5,43705.1,48.695182507812106,99.0,0.51,1.1620906596980236,105.93172435693872
29,2016,Georgia,8.300000190734863,12963.7,71518.6864160169,96.4,0.13,18.677276334922773,0.03505116177747763
