,Country,y_ratio,GDP_per_capita,Agricultural_land_per_capita,Percentage_with_basic_water_service,Prevalence_of_eating_disorder,Percentage_employed_in_agriculture,co2_per_agricultural_land_area
0,Albania,1.72565445026178,13317.1,0.00407280239078514,0.9440000000000001,0.14,0.015895529766003464,0.00040320897791549306
1,Armenia,1.6412172984516817,12715.1,0.0012933045277346488,0.99,0.13,0.009157239744272957,0.0015261296660117878
2,Australia,1.7778941854374017,49029.1,0.0006736644550969084,0.99,1.12,0.0013240340086284315,0.0248018243605795
3,Austria,1.9037570766855378,55258.4,0.40364361764643364,0.99,0.61,0.001794422757404557,1.854720740049318e-05
4,Azerbaijan,1.6881374127750939,14209.6,0.0026662848733564185,0.9470000000000001,0.15,0.017782737025853566,0.0013889695155739343
5,Barbados,1.5414046121593292,15615.7,0.16674225509349708,0.985,0.25,0.001383617080658666,2.5860445653311017e-05
6,Belarus,1.7260708619777896,18974.7,0.0014324078575082134,0.965,0.14,0.00585922519852972,0.004502363367799114
7,Belgium,1.9393627954779034,51139.1,0.0034401132885915394,0.99,0.48,0.0004117684969230581,0.0025373924050632914
8,Benin,1.5971014492753624,3160.8,0.010572888981182905,0.652,0.1,0.009496906191404727,5.9746355925224406e-05
9,Bosnia and Herzegovina,1.7213284898806436,14386.7,0.015132693869213211,0.961,0.14,0.003890847247338918,0.00043886679920477137
10,Brazil,1.742978272390037,14668.3,0.00010555245438529917,0.987,0.24,0.004009649871767374,0.021876300316598825
11,Bulgaria,1.5013068478829064,22206.1,0.011987333389112557,0.99,0.17,0.002940732683741727,0.0005162427540518159
12,Burkina Faso,1.5902777777777777,2117.8,0.11992973129184435,0.484,0.09,0.005904726261837982,1.8156964582069125e-06
13,Canada,1.8375,48962.5,2.6972673445079323e-06,0.99,0.47,0.0007481949886930553,5.794700000000001
14,Chad,1.3419203747072599,1576.3,0.037603712741541444,0.455,0.1,0.01954040796817259,1.793752792000275e-06
15,Chile,1.632392115077251,25034.9,0.0008062695370418523,0.99,0.39,0.004128437966751963,0.005589720143812668
16,Colombia,1.6315211422295441,14314.9,0.0031604241359668227,0.971,0.23,0.007524445311835496,0.0005408155463523416
