,Year,Country,Undernourishment,GDP,Agri_land_cap,Basic_water,Eating_disorder,Employed_%,CO2_agri
0,2013,Albania,3.900000095367432,11361.3,4088.797116042907,92.6,0.14,15.527752025974348,0.4150593784216289
1,2013,Algeria,3.0999999046325684,11319.1,32233.07856060084,93.0,0.22,2.991599190941532,0.107725557885558
5,2013,Austria,2.5,52997.8,5574.6768626366575,99.0,0.61,2.195135662586308,1.420583672271374
6,2013,Azerbaijan,2.5,14651.7,1424.0101211799051,89.8,0.15,17.872206039401128,2.634867190422746
7,2013,Bangladesh,15.100000381469728,3965.4,607.3523490959182,96.8,0.11,17.144373269981905,0.6658978228066393
9,2013,Belgium,2.5,48204.6,1937.4201632274248,99.0,0.47,0.5523126754077996,4.750208236927348
14,2013,Canada,2.5,46704.8,4470.976981990528,99.0,0.47,0.8895943783265303,3.6353779861859192
15,2013,Chile,3.0999999046325684,23927.4,25504.6919126823,99.0,0.37,4.198449171590926,0.1825502726729085
16,2013,Colombia,8.100000381469727,13390.5,387.34938002161584,95.8,0.22,7.43568430246958,4.854414214325375
17,2013,Costa Rica,4.099999904632568,18233.0,229.4969476673996,98.9,0.24,4.2189438416772616,7.01277221354406
18,2013,Cyprus,4.699999809265137,33384.5,30781.577562406783,99.0,0.44,0.9911125953564492,0.1869071286566316
19,2013,Czechia,2.5,33661.5,15771.930535494685,99.0,0.2,1.4131732884309862,0.6379948493741391
20,2013,Denmark,2.5,51479.3,4661.101722692116,99.0,0.51,1.2102014986470744,1.5885083713850838
21,2013,Dominican Republic,8.899999618530273,13702.3,2340.711683833544,95.5,0.22,4.267091524414359,0.9042091836734694
22,2013,Ecuador,9.0,11818.6,26377.0213069919,91.7,0.29,11.358345164750562,0.095004698704263
23,2013,El Salvador,10.5,7892.5,11989.959904731446,93.3,0.2,8.219035326095629,0.081112737920937
31,2013,Greece,2.5,27810.9,6659.838307356426,99.0,0.48,4.478850660690782,1.1426813924227597
32,2013,Guatemala,17.600000381469727,7734.1,2385.703195747117,91.4,0.19,11.417411112887228,0.3435912597091946
33,2013,Honduras,14.100000381469728,5113.5,3832.460990047876,92.2,0.17,13.085308399454274,0.2740213523131672
34,2013,Hungary,2.5,25343.7,5345.781129260418,99.0,0.19,1.8911069366721704,0.8291801407646947
37,2013,Ireland,2.5,53435.6,4056.396960973916,97.3,0.46,2.423329937474894,1.9918812092725136
39,2013,Italy,2.5,40268.1,2265.367886769766,99.0,0.58,1.3282302334435847,2.713382245047689
40,2013,Jamaica,10.100000381469728,9427.7,1553.1480982680998,90.1,0.2,7.078367515417794,1.9126126126126128
43,2013,Latvia,2.5,24715.7,26675.46883786889,98.4,0.17,3.5178366219222963,0.1350687442713107
44,2013,Lithuania,2.5,28589.0,9106.202919435362,95.7,0.17,3.618818333910503,0.4874087591240876
50,2013,Mauritius,5.599999904632568,18579.4,10036.178032240026,99.0,0.13,2.9711866107826785,0.3227777777777778
51,2013,Mexico,4.300000190734863,18600.4,3467.304949474514,97.2,0.25,5.6094296960391885,1.1896070483726122
53,2013,Montenegro,2.5,17381.7,3562.4307486963994,96.9,0.16,1.469005750851771,0.9640120109353292
56,2013,Netherlands,2.5,51640.1,3324.7223025696776,99.0,0.41,0.94467234624228,2.940803571428572
57,2013,New Zealand,2.5,39521.1,17836.15383713115,99.0,0.65,3.2045898224617404,0.4380653406623404
60,2013,Norway,2.5,61879.0,3637.394526189792,99.0,0.49,1.1272261224618365,2.416053258281013
62,2013,Panama,8.5,26480.6,28956.207711904244,92.3,0.28,7.131711114767065,0.094660543850171
63,2013,Paraguay,7.699999809265137,11209.1,55727.309745689614,94.3,0.22,11.19203449686365,0.0142557883131201
64,2013,Peru,5.599999904632568,11724.0,753.3421961036726,89.1,0.31,14.624696202920228,1.9198840838163176
65,2013,Philippines,13.800000190734863,6666.3,2525.2329406136964,91.2,0.1,11.97046750110689,0.3836767749266342
66,2013,Poland,2.5,25759.3,3267.725148595143,98.8,0.19,4.892769136698936,2.5873285748656665
67,2013,Portugal,2.5,30042.9,13759.15745450813,99.0,0.45,4.326390894703297,0.3343650242886885
68,2013,Romania,2.5,22197.0,1838.345226044292,99.0,0.16,12.421299989370567,2.019669827889006
69,2013,Saudi Arabia,4.599999904632568,47848.4,5508.487971106672,99.0,0.28,1.746635787805281,3.2668867123269463
70,2013,Serbia,3.200000047683716,15399.8,15590.501600423013,92.6,0.15,5.5158421023598,0.3203595828838547
74,2013,Spain,2.5,35371.7,743.9076579446448,99.0,0.64,1.5694763982766364,7.238943629697525
76,2013,Suriname,7.699999809265137,20379.9,11149.562850016902,94.9,0.23,0.8403146383577413,0.4496812572720867
77,2013,Sweden,2.5,48462.2,3156.659335979479,99.0,0.53,0.9887382179443244,1.488959447708888
78,2013,Switzerland,2.5,66877.2,27513.060996369903,99.0,0.54,1.8449289395965605,0.1935723890632003
81,2013,Tunisia,2.900000095367432,10898.4,37913.07710827468,93.6,0.21,4.6329349292140405,0.0646920001926504
82,2013,Ukraine,2.5,13020.6,3167.9519070687597,94.0,0.13,9.015393119100787,2.071905037395359
84,2013,Uzbekistan,2.5,5781.2,32185.945571772347,97.1,0.11,11.365857260120476,0.1136307491099324
92,2014,Austria,2.5,52932.9,5536.374352090287,99.0,0.62,2.3090106387485845,1.3451789420718283
93,2014,Azerbaijan,2.5,14867.9,1400.540480490691,91.2,0.15,17.79711067646747,2.777360474723954
95,2014,Belgium,2.5,48748.6,4435.344625920967,99.0,0.47,0.4932438303304675,1.946313039983926
96,2014,Belize,7.800000190734863,7239.3,61041.52634945071,96.5,0.2,6.683155708245842,0.0217431617987946
98,2014,Brazil,2.5999999046325684,15749.5,11575.905799017008,97.6,0.24,4.6566007382463805,0.2376905163400753
103,2014,Canada,2.5,47564.6,2733.823197064631,99.0,0.47,0.8555745038321192,5.851928205128205
104,2014,Chile,3.0999999046325684,24099.3,25218.07573503145,99.0,0.38,4.1841564217019815,0.1732154061543339
105,2014,Colombia,7.099999904632568,13852.2,378.5579658262226,96.0,0.22,7.361538698034828,4.988695163104612
106,2014,Costa Rica,4.300000190734863,18669.1,227.2599308919608,99.0,0.24,4.794229457875168,7.109561387410535
107,2014,Cyprus,2.799999952316284,33136.5,30512.966709103643,99.0,0.43,1.3946057309877575,0.1976678043230944
108,2014,Czechia,2.5,34386.7,15791.554874732605,99.0,0.2,1.2908663723819538,0.622391629297459
109,2014,Denmark,2.5,52048.3,4683.152904761997,99.0,0.51,1.1637126449829889,1.4153118168339285
110,2014,Dominican Republic,8.300000190734863,14499.6,2313.780510767048,95.8,0.22,4.447849531862784,0.9269132653061224
111,2014,Ecuador,8.899999618530273,12078.5,25972.565408161267,92.4,0.29,10.751812080267646,0.1042866452656223
112,2014,El Salvador,10.600000381469728,7990.4,8697.2075530204,94.4,0.2,7.881449197823585,0.1123470319634703
114,2014,Fiji,5.199999809265137,12058.0,11241.310778385752,94.3,0.1,16.061686404361723,0.1277207392197125
115,2014,Finland,2.5,44976.8,4151.125808170417,99.0,0.52,1.8981178853080063,2.1015835207974947
119,2014,Greece,2.5,28130.0,5794.536446428805,99.0,0.48,4.4843040108545935,1.268537332688276
120,2014,Guatemala,17.700000762939453,7939.4,2382.555608350513,91.8,0.19,12.001082945566724,0.3633560018978333
121,2014,Honduras,14.600000381469728,5177.4,3770.833800918958,92.7,0.17,10.64655897737042,0.2756588688184779
122,2014,Hungary,2.5,26485.4,5368.694372080505,99.0,0.19,1.94791611741408,0.8297492401215805
125,2014,Ireland,2.5,57668.8,4046.37969833485,97.4,0.46,2.3353243198615385,1.971423993163124
127,2014,Italy,2.5,39898.5,2178.79205331866,99.0,0.58,1.3437396229276066,2.655994529706732
128,2014,Jamaica,9.699999809265137,9438.5,1544.274238062395,90.3,0.2,7.226612157959778,1.733558558558559
130,2014,Latvia,2.5,25423.6,26988.65041905384,98.5,0.17,3.2826708621525613,0.1314757103574702
132,2014,Lithuania,2.5,29855.8,9220.938395381723,96.1,0.17,4.068722240432267,0.4783576642335766
135,2014,Malta,2.5,37270.1,43515.655872986354,99.0,0.43,0.5730026267463214,0.1307692307692307
137,2014,Mexico,4.400000095367432,18887.6,8204.717863990923,97.6,0.25,5.608857067214344,0.4872291084376393
145,2014,North Macedonia,3.5,14596.6,24376.979275957998,97.4,0.15,5.881999056685501,0.1472852912142152
146,2014,Norway,2.5,62390.1,3576.436783062108,99.0,0.49,1.1457199146913553,2.451090207166549
148,2014,Panama,8.300000190734863,27352.5,28492.986075706347,92.5,0.28,6.822629623734175,0.0976520331054336
149,2014,Paraguay,7.400000095367432,11643.7,54931.23443448346,95.6,0.22,10.630493956836888,0.0150557210636654
150,2014,Peru,5.400000095367432,11877.1,742.0978378067243,89.7,0.3,14.75542409379319,2.213793103448276
151,2014,Philippines,13.800000190734863,6973.6,2470.480875615631,91.6,0.1,11.528801646081233,0.4074811188011395
152,2014,Poland,2.5,26649.6,3281.08209656998,99.0,0.19,4.776662743089644,2.4826372219555126
153,2014,Portugal,2.5,30444.6,13844.97012158694,99.0,0.45,3.734772836521848,0.3325152523571825
154,2014,Romania,2.5,23084.4,1828.655004150544,99.0,0.16,12.187366614613508,2.063222594626461
160,2014,Slovenia,2.5,33093.8,5958.438452847127,99.0,0.19,4.2436522001578725,1.0991151879210974
163,2014,Sri Lanka,8.100000381469727,11428.1,1460.4556593564753,89.4,0.12,10.69392556812147,0.5826940749060462
164,2014,Sweden,2.5,49259.0,3941.339252633346,99.0,0.54,0.966969410358108,1.1344502617801049
165,2014,Switzerland,2.5,67682.7,27309.275904481143,99.0,0.54,1.8868869533681625,0.1750602409638554
169,2014,Tunisia,2.700000047683716,11123.2,13084.014156850712,94.2,0.21,4.561973281678575,0.1927033319286222
170,2014,Ukraine,2.5,12385.8,5661.966878003611,93.6,0.13,5.9184423175874405,1.008178686085663
172,2014,Uzbekistan,2.5,6075.2,31663.627309894167,97.4,0.11,11.598153892308106,0.1089390809727945
173,2015,Albania,4.699999809265137,11878.5,4062.5851921658495,93.4,0.14,15.41353747624998,0.3828663884867581
174,2015,Armenia,2.799999952316284,11321.3,5731.212393939072,99.0,0.13,12.9531826225347,0.3261764179638576
176,2015,Austria,2.5,52873.9,3132.335876004921,99.0,0.62,2.1657588659640936,2.440802663282385
177,2015,Azerbaijan,2.5,14852.6,4956.799730970625,92.4,0.15,17.64985673001071,0.7754832487735335
178,2015,Barbados,4.300000190734863,15388.6,46543.08915735279,98.5,0.25,1.2967577551370884,0.0949548192771084
179,2015,Belarus,2.5,18362.7,5309.540073631611,96.5,0.14,4.617866513888983,1.1580039505975777
180,2015,Belgium,2.5,49456.4,1927.7226269366813,99.0,0.47,0.4744093492421241,4.644117647058824
183,2015,Brazil,2.5,15064.2,11514.460480997472,97.8,0.24,4.5534649870476,0.2248373458512679
187,2015,Chile,3.0,24329.6,8784.399396394616,99.0,0.38,4.189382190435762,0.5183655369021223
188,2015,Colombia,6.5,14095.7,9417.77586123158,96.3,0.22,7.366478939227032,0.2054904712215025
189,2015,Costa Rica,4.099999904632568,19141.7,3666.607877173277,99.0,0.24,5.214751830983301,0.4166526019690577
190,2015,Cyprus,2.5,34453.1,1091.1405554067358,99.0,0.43,1.2326580745520836,5.502052415535206
191,2015,Czechia,2.5,36168.4,3295.7942307565327,99.0,0.2,1.3912043609375753,3.001287922152261
192,2015,Denmark,2.5,52892.6,29410.963322871063,99.0,0.51,1.1829075033904963,0.2104118104118104
193,2015,Dominican Republic,7.400000095367432,15328.4,2561.7411559886887,96.1,0.23,3.887265450425149,0.8920235741765344
194,2015,Ecuador,9.0,11896.4,1498.2708511004982,93.1,0.29,11.552920419180284,1.6780156442980652
195,2015,El Salvador,10.600000381469728,8143.3,9152.39408068241,95.6,0.2,7.6364230818667345,0.115304888581793
197,2015,Finland,2.5,45072.6,1811.6708823439265,99.0,0.52,1.8711112019277785,4.443705941591138
202,2015,Greece,2.5,28260.4,5815.340472283697,99.0,0.48,4.368803845723399,1.2092434263590903
203,2015,Guatemala,17.299999237060547,8125.7,2372.569016623673,92.1,0.19,12.239521179147111,0.4103215767634854
204,2015,Honduras,14.5,5283.4,3705.7341984509,93.3,0.17,10.953412874754305,0.2902576251110453
205,2015,Hungary,2.5,27531.6,5383.555304422973,99.0,0.19,2.1066739620113677,0.8855433130699089
208,2015,Ireland,2.5,71508.7,4023.712390540837,97.4,0.46,2.3526035912492853,2.066666666666667
210,2015,Italy,2.5,40247.8,2136.8971770969256,99.0,0.58,1.391318977786306,2.791054461181924
211,2015,Jamaica,9.600000381469728,9473.1,1535.7880114450795,90.4,0.2,6.98973789217938,1.8006756756756757
216,2015,Lithuania,2.5,30748.2,9345.56488141365,96.6,0.18,4.12927303784067,0.4860948905109489
222,2015,Mauritius,5.599999904632568,19897.5,10020.191241145989,99.0,0.14,3.218609289558913,0.3335974643423137
223,2015,Mexico,5.0,19268.9,3381.0596062401946,98.0,0.25,5.534254029321019,1.1698138394699158
228,2015,Netherlands,2.5,52974.1,24026.93226764224,99.0,0.41,1.0507605989954714,0.4034596294658213
230,2015,North Macedonia,3.299999952316284,15139.3,41214.95574306208,97.5,0.15,5.983788086094833,0.0819606136310862
231,2015,Norway,2.5,62987.5,3550.1181096986497,99.0,0.49,1.018533885838894,2.471072589382449
233,2015,Panama,8.100000381469727,28431.0,26992.634478101245,92.9,0.29,6.40959155749416,0.1015496639283047
234,2015,Paraguay,7.400000095367432,11828.1,54123.74756045453,96.8,0.22,9.58242397005358,0.0167145461576708
235,2015,Peru,5.900000095367432,12110.3,729.5523987636926,90.3,0.3,14.943408984711825,2.207242465137202
236,2015,Philippines,13.300000190734863,7300.1,2418.4732238339416,92.0,0.1,11.189091126318637,0.4540933350459049
237,2015,Poland,2.5,27797.1,3293.6254320993626,99.0,0.19,4.862550098495886,2.501947792767622
238,2015,Portugal,2.5,31118.8,13860.455659948077,99.0,0.45,3.30353558802918,0.3638577691183633
239,2015,Romania,2.5,23878.2,1826.221712805434,99.0,0.16,10.96017592210701,2.098560506543401
240,2015,Saudi Arabia,3.700000047683716,48921.2,5340.284073776402,99.0,0.29,2.2085161598851064,3.984369003916605
243,2015,Slovenia,2.5,33799.7,42839.92025874868,99.0,0.19,3.096901842845617,0.1535331905781584
247,2015,Suriname,7.699999809265137,19317.1,11025.761174383337,95.7,0.23,0.5726692611457678,0.4382877256727603
248,2015,Sweden,2.5,50929.0,3101.245075627123,99.0,0.54,1.002299141552096,1.4398269684811862
249,2015,Switzerland,2.5,68025.9,4604.198619343058,99.0,0.54,1.8307113306073743,1.0139005235602094
250,2015,Thailand,7.300000190734863,16285.4,3275.872787978178,99.0,0.13,17.85927112456245,1.2691603731674812
253,2015,Tunisia,2.5,11113.6,37127.17524432799,94.8,0.21,4.467738722647353,0.070521345282837
254,2015,Ukraine,2.5,11216.1,3220.6307000929355,93.7,0.13,5.584836669795374,1.5470568719068816
256,2015,Uzbekistan,2.5,6401.1,31148.52343822847,97.5,0.12,11.644848700705564,0.1052635949388111
257,2016,Albania,4.300000190734863,12291.9,4093.988865819229,93.8,0.14,15.96219131819374,0.3801303207243801
258,2016,Armenia,2.799999952316284,11303.1,1307.1552616405104,99.0,0.13,11.513558415161093,1.3556539864512769
261,2016,Azerbaijan,2.5,14232.2,2742.5624029315404,93.2,0.15,17.76492108034467,1.3877393574191903
262,2016,Bangladesh,13.300000190734863,4641.6,302.132298219935,97.2,0.11,16.077164753546132,1.6022836790278652
263,2016,Barbados,4.300000190734863,15752.4,47264.15160358015,98.5,0.25,1.3313599115459172,0.0949807521468759
264,2016,Belarus,2.5,17883.1,10059.89219574157,96.5,0.14,5.00534744185623,0.6298640000589336
265,2016,Belgium,2.5,49829.9,4422.07153574819,99.0,0.47,0.5054689337805136,1.9890858394742084
266,2016,Belize,7.199999809265137,7132.1,59962.16059218402,97.6,0.2,7.257077245052239,0.0282028066998641
267,2016,Bosnia and Herzegovina,2.5,13194.3,25197.98373605358,96.2,0.14,4.248134300259608,0.2547142170707983
271,2016,Canada,2.5,47457.6,15955.280139537925,99.0,0.47,0.7949687408439231,0.9639397071490096
